timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论,截图文件
2025-09-22 21:53:14,-0.99,-B,-1.02,-B,-1.72,-B,-0.92,-B,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,-A,观望,../data/fast_screenshots/fullscreen_20250922_215314.png
2025-09-22 21:53:16,-0.99,-B,-1.02,-B,-1.72,-B,-0.92,-B,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,-A,观望,../data/fast_screenshots/fullscreen_20250922_215316.png
2025-09-22 21:53:17,0.53,A,0.62,A,0.64,B,0.73,A,2.33,A,0.64,A,-0.89,-C,-0.89,-B,观望,../data/fast_screenshots/fullscreen_20250922_215316.png
2025-09-22 21:53:18,0.53,A,0.62,A,0.64,B,0.73,A,2.33,A,0.64,A,-0.89,-C,-0.89,-B,观望,../data/fast_screenshots/fullscreen_20250922_215317.png
2025-09-22 21:53:19,0.53,A,0.62,A,0.64,B,0.73,A,2.33,A,0.64,A,-0.89,-C,-0.89,-B,观望,../data/fast_screenshots/fullscreen_20250922_215318.png
2025-09-22 21:53:20,0.65,A,0.49,A,0.47,B,0.24,A,2.36,A,0.47,A,-0.64,-C,nan,-B,观望,../data/fast_screenshots/fullscreen_20250922_215319.png
2025-09-22 21:53:21,-0.47,-B,-0.41,-C,-0.58,-C,-0.06,-B,0.2,A,-0.58,-C,-1.09,-B,-1.94,-B,观望,../data/fast_screenshots/fullscreen_20250922_215321.png
2025-09-22 21:53:22,-0.73,-B,-0.64,-C,-1.19,-B,-0.54,-B,-0.36,-B,-1.19,-B,-1.28,-B,-2.24,-A,观望,../data/fast_screenshots/fullscreen_20250922_215322.png
2025-09-22 21:53:23,-0.85,-B,-0.82,-C,-1.53,-B,-0.67,-B,-0.67,-B,-1.53,-B,-1.37,-B,-2.4,-A,观望,../data/fast_screenshots/fullscreen_20250922_215323.png
2025-09-22 21:53:24,-1.04,-B,-1.08,-B,-2.25,-A,-1.25,-B,-1.3,-B,-2.25,-A,-1.63,-B,-2.62,-A,做空,../data/fast_screenshots/fullscreen_20250922_215323.png
2025-09-22 21:53:25,-1.04,-B,-1.08,-B,-2.25,-A,-1.25,-B,-1.3,-B,-2.25,-A,-1.63,-B,-2.62,-A,做空,../data/fast_screenshots/fullscreen_20250922_215324.png
2025-09-22 21:53:26,-1.04,-B,-1.08,-B,-2.25,-A,-1.25,-B,-1.3,-B,-2.25,-A,-1.63,-B,-2.62,-A,做空,../data/fast_screenshots/fullscreen_20250922_215326.png
2025-09-22 21:53:27,-1.04,-B,-1.08,-B,-2.25,-A,-1.25,-B,-1.3,-B,-2.25,-A,-1.63,-B,-2.62,-A,做空,../data/fast_screenshots/fullscreen_20250922_215327.png
2025-09-22 21:53:28,-1.04,-B,-1.08,-B,-2.25,-A,-1.25,-B,-1.3,-B,-2.25,-A,-1.63,-B,-2.62,-A,做空,../data/fast_screenshots/fullscreen_20250922_215328.png
2025-09-22 21:53:29,-1.02,-B,-1.06,-B,-1.95,-B,-1.06,-B,-1.29,-B,-1.99,-B,-1.51,-B,-2.33,-A,观望,../data/fast_screenshots/fullscreen_20250922_215329.png
2025-09-22 21:53:30,-1.02,-B,-1.06,-B,-1.95,-B,-1.06,-B,-1.29,-B,-1.95,-B,-1.48,-B,-2.31,-A,观望,../data/fast_screenshots/fullscreen_20250922_215330.png
2025-09-22 21:53:31,-1.02,-B,-1.06,-B,-1.95,-B,-1.06,-B,-1.29,-B,-1.95,-B,-1.48,-B,-2.31,-A,观望,../data/fast_screenshots/fullscreen_20250922_215331.png
2025-09-22 21:53:32,-0.99,-B,-1.02,-B,-1.72,-B,-0.92,-B,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,-A,观望,../data/fast_screenshots/fullscreen_20250922_215332.png
2025-09-22 21:53:33,-0.99,-B,-1.02,-B,-1.72,-B,-0.92,-B,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,-A,观望,../data/fast_screenshots/fullscreen_20250922_215333.png
2025-09-22 21:53:34,-0.99,-B,-1.02,-B,-1.72,-B,-0.92,-B,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,-A,观望,../data/fast_screenshots/fullscreen_20250922_215334.png
2025-09-22 21:53:35,-0.99,-B,-1.02,-B,-1.72,-B,-0.92,-B,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,-A,观望,../data/fast_screenshots/fullscreen_20250922_215335.png
