timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论,截图文件
2025-09-17 21:21:48,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212148.png
2025-09-17 21:21:49,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212149.png
2025-09-17 21:21:50,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212150.png
2025-09-17 21:21:51,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212151.png
2025-09-17 21:21:53,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212152.png
2025-09-17 21:21:54,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212154.png
2025-09-17 21:21:55,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212155.png
2025-09-17 21:21:56,0.78,C,0.88,C,2.33,A,2.59,,nan,,nan,,nan,,nan,,观望,../data/fast_screenshots/fullscreen_20250917_212156.png
2025-09-17 21:21:57,0.78,C,0.88,C,2.33,A,2.59,,2.13,A,2.33,,1.33,A,1.64,,做多,../data/fast_screenshots/fullscreen_20250917_212157.png
2025-09-17 21:21:59,0.78,C,0.88,C,2.33,A,2.59,,2.13,A,2.33,,1.33,A,1.64,,做多,../data/fast_screenshots/fullscreen_20250917_212159.png
2025-09-17 21:22:00,0.78,C,0.88,C,2.33,A,2.59,,2.13,A,2.33,,1.33,A,1.64,,做多,../data/fast_screenshots/fullscreen_20250917_212200.png
2025-09-17 21:22:01,-0.99,-C,nan,,nan,,nan,,nan,,nan,,nan,,nan,,观望,../data/fast_screenshots/fullscreen_20250917_212201.png
2025-09-17 21:22:03,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212203.png
2025-09-17 21:22:04,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,观望,../data/fast_screenshots/fullscreen_20250917_212204.png
2025-09-17 21:22:05,0.43,C,0.05,C,-1.42,-B,-1.13,-B,0.14,C,-1.42,A,-0.11,A,-0.61,,观望,../data/fast_screenshots/fullscreen_20250917_212205.png
2025-09-17 21:22:06,0.43,C,0.05,C,-1.42,-B,-1.13,-B,0.14,C,-1.42,A,-0.11,A,-0.61,,观望,../data/fast_screenshots/fullscreen_20250917_212206.png
2025-09-17 21:22:08,0.43,C,0.05,C,-1.42,-B,-1.13,-B,0.14,C,-1.42,A,-0.11,A,-0.61,,观望,../data/fast_screenshots/fullscreen_20250917_212207.png
