timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论,截图文件
2025-09-24 20:17:51,2.66,A,0.99,A,1.86,B,1.07,A,2.92,A,1.86,-B,1.54,A,0.37,A,做多,../data/fast_screenshots/fullscreen_20250924_201751.png
2025-09-24 20:17:55,2.43,A,-0.36,-C,0.37,B,0.71,A,2.61,A,0.37,A,0.15,C,-0.82,-B,观望,../data/fast_screenshots/fullscreen_20250924_201755.png
2025-09-24 20:17:56,2.43,A,-0.36,-C,0.37,B,0.71,A,2.61,A,0.37,A,0.15,C,-0.82,-B,观望,../data/fast_screenshots/fullscreen_20250924_201756.png
2025-09-24 20:17:57,2.43,A,-0.36,-C,0.37,B,0.71,A,2.61,A,0.37,A,0.15,C,-0.82,-B,观望,../data/fast_screenshots/fullscreen_20250924_201757.png
2025-09-24 20:17:58,2.97,A,4.05,AAA,3.52,AA,2.58,A,3.54,AA,3.52,AA,2.42,AA,4.51,AAA,做多,../data/fast_screenshots/fullscreen_20250924_201758.png
