timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论,截图文件
2025-09-15 22:24:10,0.6,C,1.12,B,-1.77,B,-2.33,,0.24,C,-1.77,B,1.52,A,-0.59,C,观望,../data/fast_screenshots/fullscreen_20250915_222409.png
2025-09-15 22:24:11,0.6,C,1.12,B,-1.77,B,-2.33,,0.24,C,-1.77,B,1.52,A,-0.59,C,观望,../data/fast_screenshots/fullscreen_20250915_222410.png
2025-09-15 22:24:13,0.6,C,1.12,B,-1.77,B,-2.33,,0.24,C,-1.77,B,1.52,A,-0.59,C,观望,../data/fast_screenshots/fullscreen_20250915_222411.png
2025-09-15 22:24:14,0.6,C,1.12,B,-1.77,B,-2.33,,0.24,C,-1.77,B,1.52,A,-0.59,C,观望,../data/fast_screenshots/fullscreen_20250915_222413.png
2025-09-15 22:24:15,0.6,C,1.12,B,-1.77,B,-2.33,,0.24,C,-1.77,B,1.52,A,-0.59,C,观望,../data/fast_screenshots/fullscreen_20250915_222414.png
2025-09-15 22:24:16,3.94,AA,3.88,A,5.54,AAA,2.54,A,5.34,AAA,5.54,AAA,nan,C,nan,,观望,../data/fast_screenshots/fullscreen_20250915_222415.png
2025-09-15 22:24:17,3.94,AA,3.88,A,5.54,AAA,2.54,A,5.34,AAA,5.54,AAA,3.37,AA,3.22,A,做多,../data/fast_screenshots/fullscreen_20250915_222416.png
2025-09-15 22:24:19,3.94,AA,3.88,A,5.54,AAA,2.54,A,5.34,AAA,5.54,AAA,3.37,AA,3.22,A,做多,../data/fast_screenshots/fullscreen_20250915_222418.png
2025-09-15 22:24:20,3.94,AA,3.88,A,5.54,AAA,2.54,A,5.34,AAA,5.54,AAA,3.37,AA,3.22,A,做多,../data/fast_screenshots/fullscreen_20250915_222419.png
2025-09-15 22:24:21,nan,,nan,A,nan,,nan,B,nan,,nan,,nan,C,nan,,观望,../data/fast_screenshots/fullscreen_20250915_222420.png
2025-09-15 22:24:22,0.78,C,0.88,C,2.33,A,2.59,A,2.13,A,2.33,A,1.33,A,1.64,B,做多,../data/fast_screenshots/fullscreen_20250915_222421.png
2025-09-15 22:24:24,0.78,C,0.88,C,2.33,A,2.59,A,2.13,A,2.33,A,1.33,A,1.64,B,做多,../data/fast_screenshots/fullscreen_20250915_222422.png
2025-09-15 22:24:25,0.78,C,0.88,C,2.33,A,2.59,A,2.13,A,2.33,A,1.33,A,1.64,B,做多,../data/fast_screenshots/fullscreen_20250915_222424.png
2025-09-15 22:24:26,0.78,C,0.88,C,2.33,A,2.59,A,2.13,A,2.33,A,1.33,A,1.64,B,做多,../data/fast_screenshots/fullscreen_20250915_222425.png
2025-09-15 22:24:27,0.78,C,0.88,C,2.33,A,2.59,A,2.13,A,2.33,A,1.33,A,1.64,B,做多,../data/fast_screenshots/fullscreen_20250915_222426.png
2025-09-15 22:24:29,-0.99,C,-1.02,B,-1.72,B,-0.92,C,-1.19,B,nan,,nan,C,nan,,观望,../data/fast_screenshots/fullscreen_20250915_222427.png
2025-09-15 22:24:30,-0.99,C,-1.02,B,-1.72,B,-0.92,C,-1.19,B,-1.72,B,-1.42,B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_222429.png
2025-09-15 22:24:31,-0.99,C,-1.02,B,-1.72,B,-0.92,C,-1.19,B,-1.72,B,-1.42,B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_222430.png
2025-09-15 22:24:32,0.53,C,0.56,C,0.83,C,0.73,C,2.07,A,0.83,C,-0.99,C,-0.87,C,观望,../data/fast_screenshots/fullscreen_20250915_222431.png
2025-09-15 22:24:34,0.53,C,0.56,C,0.83,C,0.73,C,2.07,A,0.83,C,-0.99,C,-0.87,C,观望,../data/fast_screenshots/fullscreen_20250915_222432.png
2025-09-15 22:24:35,-0.66,C,-0.59,C,-0.99,C,-0.36,C,-0.16,C,-0.99,C,-1.2,B,-2.19,,观望,../data/fast_screenshots/fullscreen_20250915_222434.png
2025-09-15 22:24:36,-0.66,C,-0.59,C,-0.99,C,-0.36,C,-0.16,C,-0.99,C,-1.2,B,-2.19,,观望,../data/fast_screenshots/fullscreen_20250915_222435.png
2025-09-15 22:24:37,-0.99,C,-1.02,B,-1.72,B,-0.92,C,-1.19,B,-1.72,B,-1.42,B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_222436.png
