timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论,截图文件
2025-09-15 22:03:29,0.78,,0.88,B,2.33,A,2.59,A,2.13,A,2.33,A,1.33,A,1.64,B,做多,../data/fast_screenshots/fullscreen_20250915_220328.png
2025-09-15 22:03:30,0.78,,0.88,B,2.33,A,2.59,A,2.13,A,2.33,A,1.33,A,1.64,B,做多,../data/fast_screenshots/fullscreen_20250915_220329.png
2025-09-15 22:03:31,0.78,,0.88,B,2.33,A,2.59,A,2.13,A,2.33,A,1.33,A,1.64,B,做多,../data/fast_screenshots/fullscreen_20250915_220330.png
2025-09-15 22:03:32,0.78,,0.88,B,2.33,A,2.59,A,2.13,A,2.33,A,1.33,A,1.64,B,做多,../data/fast_screenshots/fullscreen_20250915_220331.png
2025-09-15 22:03:33,0.78,,0.88,B,2.33,A,2.59,A,2.13,A,2.33,A,1.33,A,1.64,B,做多,../data/fast_screenshots/fullscreen_20250915_220332.png
2025-09-15 22:03:34,0.78,,0.88,B,2.33,A,2.59,A,2.13,A,2.33,A,1.33,A,1.64,B,做多,../data/fast_screenshots/fullscreen_20250915_220333.png
2025-09-15 22:03:35,0.78,,0.88,B,2.33,A,2.59,A,2.13,A,2.33,A,1.33,A,1.64,B,做多,../data/fast_screenshots/fullscreen_20250915_220334.png
2025-09-15 22:03:36,0.78,,0.88,B,2.33,A,2.59,A,2.13,A,2.33,A,1.33,A,1.64,B,做多,../data/fast_screenshots/fullscreen_20250915_220335.png
2025-09-15 22:03:37,0.78,,0.88,B,2.33,A,2.59,A,2.13,A,2.33,A,1.33,A,1.64,B,做多,../data/fast_screenshots/fullscreen_20250915_220336.png
2025-09-15 22:03:38,0.78,,0.88,B,2.33,A,2.59,A,2.13,A,2.33,A,1.33,A,1.64,B,做多,../data/fast_screenshots/fullscreen_20250915_220337.png
2025-09-15 22:03:39,0.78,,0.88,B,2.33,A,2.59,A,2.13,A,2.33,A,1.33,A,1.64,B,做多,../data/fast_screenshots/fullscreen_20250915_220338.png
2025-09-15 22:03:40,3.94,AA,3.88,AA,5.54,AAA,nan,,nan,,nan,B,nan,,nan,,观望,../data/fast_screenshots/fullscreen_20250915_220339.png
2025-09-15 22:03:41,3.94,AA,3.88,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多,../data/fast_screenshots/fullscreen_20250915_220340.png
2025-09-15 22:03:42,3.94,AA,3.88,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多,../data/fast_screenshots/fullscreen_20250915_220341.png
2025-09-15 22:03:43,3.94,AA,3.88,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多,../data/fast_screenshots/fullscreen_20250915_220342.png
2025-09-15 22:03:44,3.94,AA,3.88,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多,../data/fast_screenshots/fullscreen_20250915_220343.png
2025-09-15 22:03:45,3.94,AA,3.88,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多,../data/fast_screenshots/fullscreen_20250915_220344.png
2025-09-15 22:03:46,3.94,AA,3.88,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多,../data/fast_screenshots/fullscreen_20250915_220345.png
2025-09-15 22:03:47,1782.0,B,nan,B,0.0,B,nan,A,0.0,B,nan,A,nan,AA,nan,B,观望,../data/fast_screenshots/fullscreen_20250915_220346.png
2025-09-15 22:03:48,39.0,B,0.0,B,20.0,B,27.0,B,13.0,B,20.0,A,1.0,A,nan,B,观望,../data/fast_screenshots/fullscreen_20250915_220347.png
2025-09-15 22:03:49,-0.8,C,nan,B,-0.41,B,-1.24,B,-0.32,A,-0.41,A,1.61,A,-1.09,B,观望,../data/fast_screenshots/fullscreen_20250915_220348.png
2025-09-15 22:03:50,0.47,,20.17,B,nan,B,-0.96,B,1.01,B,0.21,A,0.06,A,-0.48,B,观望,../data/fast_screenshots/fullscreen_20250915_220349.png
2025-09-15 22:03:51,0.47,,20.17,B,nan,B,-0.96,B,1.01,B,0.21,A,0.06,A,-0.48,B,观望,../data/fast_screenshots/fullscreen_20250915_220350.png
2025-09-15 22:03:52,1.09,,0.51,B,nan,A,-0.52,B,1.69,B,1.21,A,0.38,A,-0.11,B,观望,../data/fast_screenshots/fullscreen_20250915_220351.png
2025-09-15 22:03:53,2.4,A,1.41,B,1.7,A,-0.61,B,2.37,A,1.7,A,0.7,A,0.61,B,做多,../data/fast_screenshots/fullscreen_20250915_220352.png
2025-09-15 22:03:54,282.0,A,170.0,B,254.0,A,0.31,B,3.05,AA,2.49,A,35.0,A,117.0,B,做多,../data/fast_screenshots/fullscreen_20250915_220353.png
2025-09-15 22:03:55,2.81,A,1.88,B,2.753,A,0.293,B,3.32,AA,2.75,A,2.03,A,1.41,B,做多,../data/fast_screenshots/fullscreen_20250915_220354.png
2025-09-15 22:03:56,3.08,AA,2.22,A,3.51,AA,0.74,B,3.97,AA,3.42,AAA,2.8,A,1.69,B,做多,../data/fast_screenshots/fullscreen_20250915_220355.png
2025-09-15 22:03:57,3.14,AA,2.34,A,3.67,AA,0.91,B,4.13,AAA,3.67,AAA,2.95,A,1.79,B,做多,../data/fast_screenshots/fullscreen_20250915_220356.png
2025-09-15 22:03:58,3.92,AA,3.74,AA,5.36,AAA,2.26,A,5.5,AAA,5.36,A,4.17,A,2.9,A,做多,../data/fast_screenshots/fullscreen_20250915_220357.png
2025-09-15 22:03:59,3.7,AA,3.49,AA,5.11,AAA,2.21,A,5.16,AAA,5.11,A,-0.19,A,-0.5,B,观望,../data/fast_screenshots/fullscreen_20250915_220358.png
2025-09-15 22:04:00,3.94,AA,3.88,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多,../data/fast_screenshots/fullscreen_20250915_220359.png
2025-09-15 22:04:01,0.6,,1.12,B,-1.77,B,-2.33,A,0.24,C,nan,B,nan,,nan,,观望,../data/fast_screenshots/fullscreen_20250915_220400.png
2025-09-15 22:04:02,0.6,,1.12,B,-1.77,B,-2.33,A,0.24,C,-1.77,A,1.52,A,-0.59,B,观望,../data/fast_screenshots/fullscreen_20250915_220401.png
2025-09-15 22:04:03,0.6,,1.12,B,-1.77,B,-2.33,A,0.24,C,-1.77,A,1.52,A,-0.59,B,观望,../data/fast_screenshots/fullscreen_20250915_220402.png
2025-09-15 22:04:04,0.6,,1.12,B,-1.77,B,-2.33,A,0.24,C,-1.77,A,1.52,A,-0.59,B,观望,../data/fast_screenshots/fullscreen_20250915_220403.png
2025-09-15 22:04:05,0.6,,1.12,B,-1.77,B,-2.33,A,0.24,C,-1.77,A,1.52,A,-0.59,B,观望,../data/fast_screenshots/fullscreen_20250915_220404.png
2025-09-15 22:04:06,0.6,,1.12,B,-1.77,B,-2.33,A,0.24,C,-1.77,A,1.52,A,-0.59,B,观望,../data/fast_screenshots/fullscreen_20250915_220405.png
2025-09-15 22:04:07,-0.34,C,-0.76,B,-0.58,B,-2.09,A,nan,,nan,B,nan,,nan,,观望,../data/fast_screenshots/fullscreen_20250915_220406.png
2025-09-15 22:04:08,-0.34,C,-0.76,B,-0.58,B,-2.09,A,-1.22,A,-0.58,A,-0.92,A,0.18,B,观望,../data/fast_screenshots/fullscreen_20250915_220407.png
2025-09-15 22:04:09,-0.34,C,-0.76,B,-0.58,B,-2.09,A,-1.22,A,-0.58,A,-0.92,A,0.18,B,观望,../data/fast_screenshots/fullscreen_20250915_220408.png
2025-09-15 22:04:10,nan,,nan,,nan,,nan,A,nan,C,nan,B,nan,,0.0,,观望,../data/fast_screenshots/fullscreen_20250915_220409.png
2025-09-15 22:04:11,nan,,nan,,nan,,nan,A,nan,C,nan,B,nan,,0.0,,观望,../data/fast_screenshots/fullscreen_20250915_220410.png
2025-09-15 22:04:12,nan,,2.0,A,nan,A,nan,,nan,,nan,B,nan,,nan,,观望,../data/fast_screenshots/fullscreen_20250915_220411.png
