timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论,截图文件
2025-09-17 21:26:53,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212653.png
2025-09-17 21:26:54,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212654.png
2025-09-17 21:26:56,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212656.png
2025-09-17 21:26:57,nan,-B,nan,A,nan,-A,-1.17,-B,-1.14,-B,-2.13,,-1.61,A,-2.55,-A,观望,../data/fast_screenshots/fullscreen_20250917_212657.png
2025-09-17 21:26:58,-0.09,-C,0.12,C,0.36,C,0.44,C,1.25,B,0.36,C,-1.14,A,-1.39,-B,观望,../data/fast_screenshots/fullscreen_20250917_212658.png
2025-09-17 21:26:59,-0.09,-C,0.12,C,0.36,C,0.44,C,1.25,B,0.36,C,-1.14,A,-1.39,-B,观望,../data/fast_screenshots/fullscreen_20250917_212659.png
2025-09-17 21:27:00,-0.09,-C,0.12,C,0.36,C,0.44,C,1.25,B,0.36,C,-1.14,A,-1.39,-B,观望,../data/fast_screenshots/fullscreen_20250917_212700.png
2025-09-17 21:27:02,-0.09,-C,0.12,C,0.36,C,0.44,C,1.25,B,0.36,C,-1.14,A,-1.39,-B,观望,../data/fast_screenshots/fullscreen_20250917_212702.png
2025-09-17 21:27:03,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212703.png
2025-09-17 21:27:04,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212704.png
2025-09-17 21:27:05,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212705.png
2025-09-17 21:27:07,nan,,nan,,nan,,nan,,4.0,,nan,,nan,,nan,,观望,../data/fast_screenshots/fullscreen_20250917_212707.png
