timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论,截图文件
2025-09-17 22:10:12,-0.99,,-1.02,-B,-1.72,-B,-0.92,A,-119.0,-B,-1.72,-B,-1.42,-B,-2.11,A,观望,../data/fast_screenshots/fullscreen_20250917_221012.png
2025-09-17 22:10:14,-0.99,,-1.02,-B,-1.72,-B,-0.92,A,-119.0,-B,-1.72,-B,-1.42,-B,-2.11,A,观望,../data/fast_screenshots/fullscreen_20250917_221014.png
2025-09-17 22:10:15,-0.99,,-1.02,-B,-1.72,-B,-0.92,A,-119.0,-B,-1.72,-B,-1.42,-B,-2.11,A,观望,../data/fast_screenshots/fullscreen_20250917_221015.png
2025-09-17 22:10:16,-0.99,,-1.02,-B,-1.72,-B,-0.92,A,-119.0,-B,-1.72,-B,-1.42,-B,-2.11,A,观望,../data/fast_screenshots/fullscreen_20250917_221016.png
2025-09-17 22:10:17,-0.99,,-1.02,-B,-1.72,-B,-0.92,A,-119.0,-B,-1.72,-B,-1.42,-B,-2.11,A,观望,../data/fast_screenshots/fullscreen_20250917_221017.png
2025-09-17 22:10:19,-0.99,,-1.02,-B,-1.72,-B,-0.92,A,-119.0,-B,-1.72,-B,-1.42,-B,-2.11,A,观望,../data/fast_screenshots/fullscreen_20250917_221018.png
2025-09-17 22:10:20,-0.48,,-0.39,-C,-0.53,-C,-0.11,A,0.22,A,-0.53,-C,-1.06,-B,-1.9,-B,观望,../data/fast_screenshots/fullscreen_20250917_221020.png
2025-09-17 22:10:21,-0.48,,-0.39,-C,-0.53,-C,-0.11,A,0.22,A,-0.53,-C,-1.06,-B,-1.9,-B,观望,../data/fast_screenshots/fullscreen_20250917_221021.png
2025-09-17 22:10:22,-0.48,,-0.42,-C,-0.57,-C,-0.04,A,0.2,A,-0.57,-C,-1.07,-B,-1.92,-B,观望,../data/fast_screenshots/fullscreen_20250917_221022.png
2025-09-17 22:10:23,0.48,A,0.58,C,0.78,C,0.74,C,2.143,A,0.78,C,-0.96,-C,-0.91,-C,观望,../data/fast_screenshots/fullscreen_20250917_221023.png
2025-09-17 22:10:25,0.48,A,0.58,C,0.78,C,0.74,C,2.143,A,0.78,C,-0.96,-C,-0.91,-C,观望,../data/fast_screenshots/fullscreen_20250917_221025.png
2025-09-17 22:10:26,0.48,A,0.58,C,0.78,C,0.74,C,2.143,A,0.78,C,-0.96,-C,-0.91,-C,观望,../data/fast_screenshots/fullscreen_20250917_221026.png
2025-09-17 22:10:27,-0.49,,-0.48,-C,-0.55,-C,-0.03,A,0.18,A,-0.55,-C,-1.07,-B,-1.93,-B,观望,../data/fast_screenshots/fullscreen_20250917_221027.png
2025-09-17 22:10:29,-0.49,,-0.48,-C,-0.55,-C,-0.03,A,0.18,A,-0.55,-C,-1.07,-B,-1.93,-B,观望,../data/fast_screenshots/fullscreen_20250917_221029.png
2025-09-17 22:10:30,-0.44,,-0.38,-C,-0.51,-C,-0.03,A,0.18,A,-0.55,-C,-1.07,-B,-1.93,-B,观望,../data/fast_screenshots/fullscreen_20250917_221030.png
2025-09-17 22:10:31,-0.99,,-1.02,-B,-1.72,-B,-0.92,A,-119.0,-B,-1.72,-B,-1.42,-B,-2.11,A,观望,../data/fast_screenshots/fullscreen_20250917_221031.png
2025-09-17 22:10:32,-0.99,,-1.02,-B,-1.72,-B,-0.92,A,-119.0,-B,-1.72,-B,-1.42,-B,-2.11,A,观望,../data/fast_screenshots/fullscreen_20250917_221032.png
