timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论,截图文件
2025-09-15 23:13:15,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_231313.png
2025-09-15 23:13:16,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_231315.png
2025-09-15 23:13:17,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_231316.png
2025-09-15 23:13:18,0.43,C,0.05,C,-1.42,-B,-1.13,-B,0.14,C,nan,,nan,C,nan,,观望,../data/fast_screenshots/fullscreen_20250915_231317.png
2025-09-15 23:13:19,0.43,C,0.05,C,-1.42,-B,-1.13,-B,0.14,C,-1.42,-B,-0.11,A,-0.61,-C,观望,../data/fast_screenshots/fullscreen_20250915_231318.png
2025-09-15 23:13:21,nan,,nan,A,nan,,nan,B,nan,,-1.42,-B,-0.11,A,-0.61,-C,观望,../data/fast_screenshots/fullscreen_20250915_231319.png
2025-09-15 23:13:22,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,-B,nan,C,nan,,观望,../data/fast_screenshots/fullscreen_20250915_231321.png
2025-09-15 23:13:23,-0.25,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_231322.png
2025-09-15 23:13:24,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_231323.png
