timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论,截图文件
2025-09-17 22:21:06,-1.92,-B,-2.39,-A,-1.16,-B,-0.6,-C,-1.87,-B,-1.16,-B,-1.53,-B,-1.04,-B,观望,../data/fast_screenshots/fullscreen_20250917_222106.png
2025-09-17 22:21:08,-1.92,-B,-2.39,-A,-1.16,-B,-0.6,-C,-1.87,-B,-1.16,-B,-1.53,-B,-1.04,-B,观望,../data/fast_screenshots/fullscreen_20250917_222108.png
2025-09-17 22:21:09,-1.92,-B,-2.39,-A,-1.16,-B,-0.6,-C,-1.87,-B,-1.16,-B,-1.53,-B,-1.04,-B,观望,../data/fast_screenshots/fullscreen_20250917_222109.png
2025-09-17 22:21:10,-1.92,-B,-2.39,-A,-1.16,-B,-0.6,-C,-1.87,-B,-1.16,-B,-1.53,-B,-1.04,-B,观望,../data/fast_screenshots/fullscreen_20250917_222110.png
2025-09-17 22:21:11,-2.25,A,-2.74,A,-1.57,-B,-1.12,-B,-2.39,A,-1.57,-B,-1.67,A,-1.35,-B,观望,../data/fast_screenshots/fullscreen_20250917_222111.png
2025-09-17 22:21:13,-1.06,-B,-2.74,-A,-1.58,-B,-1.88,-B,-2.02,A,1.58,-B,-1.48,-B,-0.86,-C,观望,../data/fast_screenshots/fullscreen_20250917_222113.png
2025-09-17 22:21:14,0.51,C,-0.36,-C,0.07,C,-2.48,A,-0.59,-C,0.07,B,-1.31,-B,1.12,B,观望,../data/fast_screenshots/fullscreen_20250917_222114.png
2025-09-17 22:21:15,0.51,C,-0.36,-C,0.07,C,-2.48,A,-0.59,-C,0.07,B,-1.31,-B,1.12,B,观望,../data/fast_screenshots/fullscreen_20250917_222115.png
2025-09-17 22:21:16,0.51,C,-0.36,-C,0.07,C,-2.48,A,-0.59,-C,0.07,B,-1.31,-B,1.12,B,观望,../data/fast_screenshots/fullscreen_20250917_222116.png
2025-09-17 22:21:18,0.51,C,-0.36,-C,0.07,C,-2.48,A,-0.59,-C,0.07,B,-1.31,-B,1.12,B,观望,../data/fast_screenshots/fullscreen_20250917_222118.png
