timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论,截图文件
2025-09-17 21:22:37,0.43,C,0.05,C,-1.42,-B,-1.13,-B,0.14,C,-1.42,A,-0.11,A,-0.61,,观望,../data/fast_screenshots/fullscreen_20250917_212237.png
2025-09-17 21:22:38,0.43,C,0.05,C,-1.42,-B,-1.13,-B,0.14,C,-1.42,A,-0.11,A,-0.61,,观望,../data/fast_screenshots/fullscreen_20250917_212238.png
2025-09-17 21:22:40,0.23,C,-0.42,-C,-1.09,-B,-1.12,-B,0.12,C,-1.09,A,-0.26,A,-0.9,,观望,../data/fast_screenshots/fullscreen_20250917_212240.png
2025-09-17 21:22:41,0.43,C,0.05,C,-1.42,-B,-1.13,-B,0.14,C,-1.42,A,-0.11,A,-0.61,,观望,../data/fast_screenshots/fullscreen_20250917_212241.png
2025-09-17 21:22:42,-0.09,-C,-0.68,-C,-1.45,-B,-1.42,-B,-0.29,-C,-1.45,A,-0.78,A,-1.25,,观望,../data/fast_screenshots/fullscreen_20250917_212242.png
2025-09-17 21:22:43,-0.09,-C,-0.68,-C,-1.45,-B,-1.42,-B,-0.29,-C,-1.45,A,-0.78,A,-1.25,,观望,../data/fast_screenshots/fullscreen_20250917_212243.png
2025-09-17 21:22:45,-0.09,-C,-0.68,-C,-1.45,-B,-1.42,-B,-0.29,-C,-1.45,A,-0.78,A,-1.25,,观望,../data/fast_screenshots/fullscreen_20250917_212245.png
2025-09-17 21:22:46,-0.3,-C,-0.86,-C,-1.4,-B,-0.91,-C,-0.42,-C,-1.4,A,-0.89,A,-1.31,,观望,../data/fast_screenshots/fullscreen_20250917_212246.png
2025-09-17 21:22:47,0.12,C,-0.4,-C,-0.7,-C,-0.53,-C,0.37,C,-0.7,A,-0.48,A,-0.85,,观望,../data/fast_screenshots/fullscreen_20250917_212247.png
2025-09-17 21:22:48,0.43,C,0.05,C,-1.42,-B,-1.13,-B,0.14,C,-1.42,A,-0.11,A,-0.61,,观望,../data/fast_screenshots/fullscreen_20250917_212248.png
2025-09-17 21:22:50,0.43,C,0.05,C,-1.42,-B,-1.13,-B,0.14,C,-1.42,A,-0.11,A,-0.61,,观望,../data/fast_screenshots/fullscreen_20250917_212250.png
2025-09-17 21:22:51,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,观望,../data/fast_screenshots/fullscreen_20250917_212251.png
2025-09-17 21:22:52,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212252.png
2025-09-17 21:22:53,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212253.png
2025-09-17 21:22:55,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212254.png
2025-09-17 21:22:56,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_212256.png
