timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论,截图文件
2025-09-15 22:29:17,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_222916.png
2025-09-15 22:29:18,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_222917.png
2025-09-15 22:29:19,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_222918.png
2025-09-15 22:29:20,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_222919.png
2025-09-15 22:29:22,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_222921.png
2025-09-15 22:29:23,nan,,nan,A,nan,,nan,B,nan,,nan,,nan,C,nan,,观望,../data/fast_screenshots/fullscreen_20250915_222922.png
2025-09-15 22:29:24,0.43,C,0.05,C,-1.42,-B,-1.13,-B,0.14,C,-1.42,-B,-0.11,A,-0.61,-C,观望,../data/fast_screenshots/fullscreen_20250915_222923.png
2025-09-15 22:29:25,0.43,C,0.05,C,-1.42,-B,-1.13,-B,0.14,C,-1.42,-B,-0.11,A,-0.61,-C,观望,../data/fast_screenshots/fullscreen_20250915_222924.png
2025-09-15 22:29:27,0.43,C,0.05,C,-1.42,-B,-1.13,-B,0.14,C,-1.42,-B,-0.11,A,-0.61,-C,观望,../data/fast_screenshots/fullscreen_20250915_222925.png
2025-09-15 22:29:28,0.43,C,0.05,C,-1.42,-B,-1.13,-B,0.14,C,-1.42,-B,-0.11,A,-0.61,-C,观望,../data/fast_screenshots/fullscreen_20250915_222927.png
2025-09-15 22:29:29,0.43,C,0.05,C,-1.42,-B,-1.13,-B,0.14,C,-1.42,-B,-0.11,A,-0.61,-C,观望,../data/fast_screenshots/fullscreen_20250915_222928.png
2025-09-15 22:29:30,3.58,AA,4.58,AAA,2.5,A,0.68,C,nan,,nan,,nan,C,nan,,观望,../data/fast_screenshots/fullscreen_20250915_222929.png
2025-09-15 22:29:31,3.58,AA,4.58,AAA,2.5,A,0.68,C,3.19,AA,2.5,A,1.25,A,3.77,A,做多,../data/fast_screenshots/fullscreen_20250915_222930.png
2025-09-15 22:29:33,3.58,AA,4.58,AAA,2.5,A,0.68,C,3.19,AA,2.5,A,1.25,A,3.77,A,做多,../data/fast_screenshots/fullscreen_20250915_222932.png
2025-09-15 22:29:34,-1.92,-B,-2.39,,-1.16,-B,-0.6,-C,nan,,nan,,nan,C,nan,,观望,../data/fast_screenshots/fullscreen_20250915_222933.png
2025-09-15 22:29:35,-1.92,-B,-2.39,,-1.16,-B,-0.6,-C,-1.87,-B,-1.16,-B,-1.53,-B,-1.04,-B,观望,../data/fast_screenshots/fullscreen_20250915_222934.png
2025-09-15 22:29:36,-1.92,-B,-2.39,,-1.16,-B,-0.6,-C,-1.87,-B,-1.16,-B,-1.53,-B,-1.04,-B,观望,../data/fast_screenshots/fullscreen_20250915_222935.png
2025-09-15 22:29:38,-1.92,-B,-2.39,,-1.16,-B,-0.6,-C,-1.87,-B,-1.16,-B,-1.53,-B,-1.04,-B,观望,../data/fast_screenshots/fullscreen_20250915_222936.png
2025-09-15 22:29:39,-1.92,-B,-2.39,,-1.16,-B,-0.6,-C,-1.87,-B,-1.16,-B,-1.53,-B,-1.04,-B,观望,../data/fast_screenshots/fullscreen_20250915_222938.png
