timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论,截图文件
2025-09-24 20:18:33,2.97,A,4.05,AAA,3.52,AA,2.58,A,3.54,AA,3.52,AA,2.42,AA,4.51,AAA,做多,../data/fast_screenshots/fullscreen_20250924_201833.png
2025-09-24 20:18:34,2.97,A,4.05,AAA,3.52,AA,2.58,A,3.54,AA,3.52,AA,2.42,AA,4.51,AAA,做多,../data/fast_screenshots/fullscreen_20250924_201834.png
2025-09-24 20:18:35,2.97,A,4.05,AAA,3.52,AA,2.58,A,3.54,AA,3.52,AA,2.42,AA,4.51,AAA,做多,../data/fast_screenshots/fullscreen_20250924_201835.png
2025-09-24 20:18:36,2.97,A,4.05,AAA,3.52,AA,2.58,A,3.54,AA,3.52,AA,2.42,AA,4.51,AAA,做多,../data/fast_screenshots/fullscreen_20250924_201836.png
2025-09-24 20:18:37,2.97,A,4.05,AAA,3.52,AA,2.58,A,3.54,AA,3.52,AA,2.42,AA,4.51,AAA,做多,../data/fast_screenshots/fullscreen_20250924_201837.png
2025-09-24 20:18:38,2.97,A,4.05,AAA,3.52,AA,2.58,A,3.54,AA,3.52,AA,2.42,AA,4.51,AAA,做多,../data/fast_screenshots/fullscreen_20250924_201838.png
2025-09-24 20:18:39,2.97,A,4.05,AAA,3.52,AA,2.58,A,3.54,AA,3.52,AA,2.42,AA,4.51,AAA,做多,../data/fast_screenshots/fullscreen_20250924_201839.png
2025-09-24 20:18:40,2.97,A,4.05,AAA,3.52,AA,2.58,A,3.54,AA,3.52,AA,2.42,AA,4.51,AAA,做多,../data/fast_screenshots/fullscreen_20250924_201840.png
2025-09-24 20:18:41,2.97,A,4.05,AAA,3.52,AA,2.58,A,3.54,AA,3.52,AA,2.42,AA,4.51,AAA,做多,../data/fast_screenshots/fullscreen_20250924_201841.png
2025-09-24 20:18:42,2.97,A,4.05,AAA,3.52,AA,2.58,A,3.54,AA,3.52,AA,2.42,AA,4.51,AAA,做多,../data/fast_screenshots/fullscreen_20250924_201842.png
2025-09-24 20:18:43,1.29,-B,1.34,-B,2.59,A,4.33,AAA,2.87,A,2.26,AA,2.1,AA,1.15,-B,做多,../data/fast_screenshots/fullscreen_20250924_201843.png
2025-09-24 20:18:44,3.21,AA,1.72,-B,2.45,A,1.19,A,3.42,AA,2.45,AA,2.47,AA,1.36,-B,做多,../data/fast_screenshots/fullscreen_20250924_201844.png
2025-09-24 20:18:45,3.21,AA,1.72,-B,2.45,A,1.19,A,3.42,AA,2.45,AA,2.47,AA,1.36,-B,做多,../data/fast_screenshots/fullscreen_20250924_201845.png
2025-09-24 20:18:46,3.21,AA,1.72,-B,2.45,A,1.19,A,3.42,AA,2.45,AA,2.47,AA,1.36,-B,做多,../data/fast_screenshots/fullscreen_20250924_201846.png
2025-09-24 20:18:47,3.21,AA,1.72,-B,2.45,A,1.19,A,3.42,AA,2.45,AA,2.47,AA,1.36,-B,做多,../data/fast_screenshots/fullscreen_20250924_201847.png
2025-09-24 20:18:48,2.89,AA,3.69,AA,3.25,AAA,2.67,A,3.4,AAA,3.38,AA,2.69,-A,4.26,AAA,做多,../data/fast_screenshots/fullscreen_20250924_201848.png
2025-09-24 20:18:49,2.97,A,4.05,AAA,3.52,AA,2.58,A,3.54,AA,3.52,AA,2.42,AA,4.51,AAA,做多,../data/fast_screenshots/fullscreen_20250924_201849.png
2025-09-24 20:18:50,2.12,A,-0.04,-C,0.95,B,0.73,A,2.52,A,0.95,A,1.05,A,0.09,A,做多,../data/fast_screenshots/fullscreen_20250924_201850.png
2025-09-24 20:18:51,2.12,A,-0.04,-C,0.95,B,0.73,A,2.52,A,0.95,A,1.05,A,0.09,A,做多,../data/fast_screenshots/fullscreen_20250924_201851.png
2025-09-24 20:18:52,2.12,A,-0.04,-C,0.95,B,0.73,A,2.52,A,0.95,A,1.05,A,0.09,A,做多,../data/fast_screenshots/fullscreen_20250924_201852.png
2025-09-24 20:18:53,2.12,A,-0.04,-C,0.95,B,0.73,A,2.52,A,0.95,A,1.05,A,0.09,A,做多,../data/fast_screenshots/fullscreen_20250924_201853.png
2025-09-24 20:18:54,2.12,A,-0.04,-C,0.95,B,0.73,A,2.52,A,0.95,A,1.05,A,0.09,A,做多,../data/fast_screenshots/fullscreen_20250924_201854.png
2025-09-24 20:18:55,2.12,A,-0.04,-C,0.95,B,0.73,A,2.52,A,0.95,A,1.05,A,0.09,A,做多,../data/fast_screenshots/fullscreen_20250924_201855.png
2025-09-24 20:18:56,2.12,A,-0.04,-C,0.95,B,0.73,A,2.52,A,0.95,A,1.05,A,0.09,A,做多,../data/fast_screenshots/fullscreen_20250924_201856.png
2025-09-24 20:18:57,2.97,A,3.62,AA,3.45,AA,3.13,AA,3.57,AA,3.45,AA,3.17,AAA,4.4,AAA,做多,../data/fast_screenshots/fullscreen_20250924_201857.png
2025-09-24 20:18:58,2.97,A,3.62,AA,3.45,AA,3.13,AA,3.57,AA,3.45,AA,3.17,AAA,4.4,AAA,做多,../data/fast_screenshots/fullscreen_20250924_201858.png
2025-09-24 20:18:59,2.99,AA,4.04,AAA,3.46,AAA,2.82,A,3.64,AAA,3.46,AAA,2.63,AA,4.33,AAA,做多,../data/fast_screenshots/fullscreen_20250924_201859.png
