timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论,截图文件
2025-09-17 20:59:32,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_205932.png
2025-09-17 20:59:35,-0.31,-C,-0.11,-C,-0.08,-C,0.2,C,0.75,C,-0.08,A,-1.16,A,-1.65,-B,观望,../data/fast_screenshots/fullscreen_20250917_205935.png
2025-09-17 20:59:37,-0.31,-C,-0.11,-C,-0.08,-C,0.2,C,0.75,C,-0.08,A,-1.16,A,-1.65,-B,观望,../data/fast_screenshots/fullscreen_20250917_205937.png
2025-09-17 20:59:38,-0.31,-C,-0.11,-C,-0.08,-C,0.2,C,0.75,C,-0.08,A,-1.16,A,-1.65,-B,观望,../data/fast_screenshots/fullscreen_20250917_205938.png
2025-09-17 20:59:39,-0.31,-C,-0.11,-C,-0.08,-C,0.2,C,0.75,C,-0.08,A,-1.16,A,-1.65,-B,观望,../data/fast_screenshots/fullscreen_20250917_205939.png
2025-09-17 20:59:40,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_205940.png
2025-09-17 20:59:42,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,A,-1.42,A,-2.11,,观望,../data/fast_screenshots/fullscreen_20250917_205941.png
