timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论,截图文件
2025-09-15 23:18:46,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_231846.png
2025-09-15 23:18:47,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_231847.png
2025-09-15 23:18:48,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_231848.png
2025-09-15 23:18:49,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_231849.png
2025-09-15 23:18:51,0.43,C,0.05,C,-1.42,-B,-1.13,-B,0.14,C,-1.42,-B,nan,C,nan,,观望,../data/fast_screenshots/fullscreen_20250915_231851.png
2025-09-15 23:18:52,0.43,C,0.05,C,-1.42,-B,-1.13,-B,0.14,C,-1.42,-B,-0.11,A,-0.61,-C,观望,../data/fast_screenshots/fullscreen_20250915_231852.png
2025-09-15 23:18:53,nan,,nan,A,nan,,nan,B,nan,,nan,,nan,C,nan,,观望,../data/fast_screenshots/fullscreen_20250915_231853.png
2025-09-15 23:18:55,-0.99,-C,-1.02,-B,-1.72,-B,-0.92,-C,-1.19,-B,-1.72,-B,-1.42,-B,-2.11,,观望,../data/fast_screenshots/fullscreen_20250915_231854.png
