timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论,截图文件
2025-09-15 22:20:44,nan,,nan,-A,nan,,nan,,nan,A,3000.0,A,nan,,nan,,观望,../data/fast_screenshots/fullscreen_20250915_222043.png
2025-09-15 22:20:45,0.6,C,1.12,A,-1.77,B,-2.33,A,0.24,C,-1.77,B,1.52,A,-0.59,A,观望,../data/fast_screenshots/fullscreen_20250915_222044.png
2025-09-15 22:20:46,0.6,C,1.12,A,-1.77,B,-2.33,A,0.24,C,-1.77,B,1.52,A,-0.59,A,观望,../data/fast_screenshots/fullscreen_20250915_222045.png
2025-09-15 22:20:47,0.6,C,1.12,A,-1.77,B,-2.33,A,0.24,C,-1.77,B,1.52,A,-0.59,A,观望,../data/fast_screenshots/fullscreen_20250915_222046.png
2025-09-15 22:20:48,0.6,C,1.12,A,-1.77,B,-2.33,A,0.24,C,-1.77,B,1.52,A,-0.59,A,观望,../data/fast_screenshots/fullscreen_20250915_222047.png
2025-09-15 22:20:49,0.6,C,1.12,A,-1.77,B,-2.33,A,0.24,C,-1.77,B,1.52,A,-0.59,A,观望,../data/fast_screenshots/fullscreen_20250915_222048.png
2025-09-15 22:20:50,-0.34,A,-0.76,A,-0.58,C,nan,B,nan,,nan,B,nan,C,nan,,观望,../data/fast_screenshots/fullscreen_20250915_222049.png
2025-09-15 22:20:51,-0.34,A,-0.76,A,-0.58,C,-2.09,A,-1.22,B,-0.58,C,-0.92,C,0.18,A,观望,../data/fast_screenshots/fullscreen_20250915_222050.png
2025-09-15 22:20:52,-0.34,A,-0.76,A,-0.58,C,-2.09,A,-1.22,B,-0.58,C,-0.92,C,0.18,A,观望,../data/fast_screenshots/fullscreen_20250915_222051.png
2025-09-15 22:20:53,nan,,nan,A,nan,,nan,B,nan,,nan,B,nan,C,nan,,观望,../data/fast_screenshots/fullscreen_20250915_222052.png
2025-09-15 22:20:54,0.6,C,1.12,A,-1.77,B,-2.33,A,0.24,C,-1.77,B,nan,C,nan,,观望,../data/fast_screenshots/fullscreen_20250915_222053.png
2025-09-15 22:20:55,0.6,C,1.12,A,-1.77,B,-2.33,A,0.24,C,-1.77,B,1.52,A,-0.59,A,观望,../data/fast_screenshots/fullscreen_20250915_222054.png
2025-09-15 22:20:56,0.6,C,1.12,A,-1.77,B,-2.33,A,0.24,C,-1.77,B,1.52,A,-0.59,A,观望,../data/fast_screenshots/fullscreen_20250915_222055.png
2025-09-15 22:20:57,0.6,C,1.12,A,-1.77,B,-2.33,A,0.24,C,-1.77,B,1.52,A,-0.59,A,观望,../data/fast_screenshots/fullscreen_20250915_222056.png
2025-09-15 22:20:58,0.6,C,1.12,A,-1.77,B,-2.33,A,0.24,C,-1.77,B,1.52,A,-0.59,A,观望,../data/fast_screenshots/fullscreen_20250915_222057.png
2025-09-15 22:20:59,nan,,nan,-A,nan,,nan,,nan,,nan,B,nan,,nan,,观望,../data/fast_screenshots/fullscreen_20250915_222058.png
