timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论,截图文件
2025-09-22 22:13:29,3.58,AA,4.58,AAA,2.5,A,0.68,A,3.19,AA,2.5,AA,1.25,A,3.77,AA,做多,../data/fast_screenshots/fullscreen_20250922_221329.png
2025-09-22 22:13:30,3.56,AAA,4.68,AAA,2.38,AA,0.82,A,3.33,AAA,2.42,A,1.3,A,3.55,AAA,做多,../data/fast_screenshots/fullscreen_20250922_221330.png
2025-09-22 22:13:31,2.122,A,2.168,AA,0.84,B,-99.0,-B,0.68,A,0.184,A,-51.0,-C,2.119,A,观望,../data/fast_screenshots/fullscreen_20250922_221331.png
2025-09-22 22:13:32,2.95,A,3.27,AA,1.22,-B,0.0,A,1.99,B,1.22,-B,0.81,A,2.63,A,做多,../data/fast_screenshots/fullscreen_20250922_221332.png
2025-09-22 22:13:33,2.89,A,2.94,AA,1.163,B,-0.89,-B,1.263,-B,1.16,-B,-0.233,-C,2.463,A,观望,../data/fast_screenshots/fullscreen_20250922_221333.png
2025-09-22 22:13:34,3.58,AA,4.58,AAA,2.5,A,0.68,A,3.19,AA,2.5,AA,1.25,A,3.77,AA,做多,../data/fast_screenshots/fullscreen_20250922_221334.png
2025-09-22 22:13:35,2.87,A,2.83,AA,1.0,B,-0.199,-B,0.93,A,1.0,A,-0.147,-C,2.3,A,观望,../data/fast_screenshots/fullscreen_20250922_221335.png
2025-09-22 22:13:36,2.93,A,3.16,AA,1.17,B,-0.29,-B,1.76,-B,1.17,-B,0.42,C,2.56,A,做多,../data/fast_screenshots/fullscreen_20250922_221336.png
2025-09-22 22:13:37,2.78,A,3.05,AA,1.19,B,-0.7,-B,1.36,-B,1.19,-B,-0.05,-C,2.62,A,观望,../data/fast_screenshots/fullscreen_20250922_221337.png
2025-09-22 22:13:38,3.58,AA,4.58,AAA,2.5,A,0.68,A,3.19,AA,2.5,AA,1.25,A,3.77,AA,做多,../data/fast_screenshots/fullscreen_20250922_221338.png
2025-09-22 22:13:39,3.58,AA,4.58,AAA,2.5,A,0.68,A,3.19,AA,2.5,AA,1.25,A,3.77,AA,做多,../data/fast_screenshots/fullscreen_20250922_221339.png
